feature_set,model,split,score_type,score,count,rate
v1_score_related,ridge_regression,validation,actual,0:1,114,0.06506849315068493
v1_score_related,ridge_regression,validation,actual,0:0,112,0.0639269406392694
v1_score_related,ridge_regression,validation,actual,2:2,110,0.06278538812785388
v1_score_related,ridge_regression,validation,actual,0:2,80,0.045662100456621
v1_score_related,ridge_regression,validation,actual,3:1,80,0.045662100456621
v1_score_related,ridge_regression,validation,predicted,2:1,708,0.4041095890410959
v1_score_related,ridge_regression,validation,predicted,1:1,482,0.2751141552511416
v1_score_related,ridge_regression,validation,predicted,1:2,342,0.1952054794520548
v1_score_related,ridge_regression,validation,predicted,3:1,74,0.04223744292237443
v1_score_related,ridge_regression,validation,predicted,2:2,65,0.037100456621004564
v1_score_related,ridge_regression,validation,predicted,2:0,33,0.018835616438356163
